match_id,date,tournament,team1_name,team2_name,event_type,decider_map,winner,team1_avg_RATING,team2_avg_RATING,rating_diff,team1_avg_ADR,team2_avg_ADR,team1_avg_KAST,team2_avg_KAST,team1_totalwinrate,team2_totalwinrate,score_team1,score_team2
hltv_match_2372192,2024-05-16T08:00:00Z,RES Regional Series 4 Europe,Metizport,Rare Atom,Online,Mirage,team1,1.08,1.07,0.01,74.18,77.62,71.6,71.62,0.3461538461538461,0.4666666666666667,2,0
hltv_match_2372230,2024-05-16T08:15:00Z,CCT Season 2 Europe Series 4 Closed Qualifier,Rounds,777,Online,Mirage,team2,0.92,1.0,-0.0799999999999999,67.0,72.02,67.72,69.64,0.0,0.25,1,2
hltv_match_2372071,2024-05-16T08:45:00Z,CCT Global Finals 2024,Eternal Fire,PARIVISION,Online,Dust2,team1,1.06,1.12,-0.06,74.34,76.58,71.5,72.88,0.5897435897435898,0.6052631578947368,2,0
hltv_match_2371696,2024-05-16T09:00:00Z,Elisa Invitational Spring 2024,Monte,ECF,Online,Anubis,team1,1.08,1.03,0.05,74.18,73.32,71.92,70.56,0.5211267605633803,0.0,2,1
hltv_match_2371999,2024-05-16T10:15:00Z,BetBoom Dacha Belgrade 2024,Spirit,HEROIC,LAN,Dust2,team1,1.14,1.06,0.0799999999999998,78.98,73.1,73.36,71.46,0.8,0.5121951219512195,2,0
hltv_match_2372000,2024-05-16T13:25:00Z,BetBoom Dacha Belgrade 2024,Aurora,MIBR,LAN,Inferno,team2,1.07,1.15,-0.0799999999999998,77.6,78.02,71.34,73.48,0.5106382978723404,0.4772727272727273,0,2
hltv_match_2372073,2024-05-16T13:45:00Z,CCT Global Finals 2024,SAW,Eternal Fire,Online,Inferno,team2,1.04,1.06,-0.02,73.38,74.34,71.12,71.5,0.574468085106383,0.525,0,2
hltv_match_2372056,2024-05-16T14:00:00Z,Thunderpick World Championship 2024 SA Closed Qualifier 1,Imperial,9z,Online,Anubis,team1,1.09,1.1,-0.01,75.0,76.06,72.82,72.26,0.6226415094339622,0.4285714285714285,2,1
hltv_match_2372194,2024-05-16T14:15:00Z,RES Regional Series 4 Europe,Ninjas in Pyjamas,Sangal,Online,Anubis,team1,1.09,1.09,0.0,77.66,76.18,71.46,71.92,0.6,0.6666666666666666,2,0
hltv_match_2372072,2024-05-16T16:40:00Z,CCT Global Finals 2024,Aurora,PARIVISION,Online,Dust2,team1,1.07,1.12,-0.05,77.6,76.58,71.34,72.88,0.5217391304347826,0.6216216216216216,2,0
hltv_match_2371964,2024-05-16T17:00:00Z,CBCS Season 4,RED Canids,Fluxo,Online,Vertigo,team1,1.09,1.11,-0.02,73.86,76.84,72.34,71.78,0.5897435897435898,0.4878048780487805,2,0
hltv_match_2371956,2024-05-16T18:00:00Z,CBCS Season 4,9z,ODDIK,Online,Nuke,team1,1.1,1.08,0.02,76.06,74.77,72.26,71.1,0.4117647058823529,0.4347826086956521,2,1
hltv_match_2372275,2024-05-17T02:30:00Z,MESA Pro Series Finals 2024,The MongolZ,Chinggis Warriors,LAN,Ancient,team1,1.07,1.06,0.01,74.6,73.54,71.05,71.8,0.66,0.3333333333333333,2,0
hltv_match_2372276,2024-05-17T05:00:00Z,MESA Pro Series Finals 2024,ATOX,The Huns,LAN,Ancient,team1,1.08,1.09,-0.01,74.7,76.46,71.0,70.76,0.64,0.5,2,1
hltv_match_2372074,2024-05-17T05:30:00Z,CCT Global Finals 2024,SAW,Aurora,Online,Ancient,team2,1.04,1.07,-0.03,73.38,77.6,71.12,71.34,0.5869565217391305,0.4242424242424242,1,2
hltv_match_2372242,2024-05-17T07:00:00Z,CCT Season 2 Europe Series 3,Passion UA,Nexus,Online,Anubis,team1,1.08,1.03,0.05,75.8,74.58,70.9,70.18,0.6909090909090909,0.3157894736842105,2,0
hltv_match_2371996,2024-05-17T08:00:00Z,BetBoom Dacha Belgrade 2024,Falcons,Virtus.pro,LAN,Ancient,team1,1.15,1.1,0.0499999999999998,81.2,75.38,72.9,72.6,0.5454545454545454,0.5,2,1
hltv_match_2372196,2024-05-17T08:00:00Z,RES Regional Series 4 Europe,3DMAX,B8,Online,Nuke,team2,1.05,1.09,-0.04,73.98,75.36,70.82,72.84,0.5964912280701754,0.575,1,2
hltv_match_2371698,2024-05-17T08:15:00Z,Elisa Invitational Spring 2024,Rebels,Gaimin Gladiators,Online,Nuke,team1,1.03,1.06,-0.03,73.08,74.3,69.76,71.54,0.4347826086956521,0.5161290322580645,2,0
hltv_match_2372075,2024-05-17T09:15:00Z,CCT Global Finals 2024,ENCE,fnatic,Online,Mirage,team2,1.09,1.11,-0.02,76.48,76.54,71.48,72.84,0.4838709677419355,0.4375,0,2
hltv_match_2372001,2024-05-17T11:45:00Z,BetBoom Dacha Belgrade 2024,HEROIC,MIBR,LAN,Dust2,team1,1.06,1.15,-0.0899999999999998,73.1,78.02,71.46,73.48,0.6,0.4651162790697674,2,1
